,label
0,3
1,9
2,5
3,9
4,3
5,6
6,4
7,5
8,5
9,8
10,9
11,3
12,7
13,9
14,9
15,3
16,4
17,1
18,4
19,6
20,7
21,9
22,8
23,9
24,8
25,5
26,1
27,4
28,2
29,3
30,3
31,5
32,3
33,9
34,2
35,0
36,3
37,8
38,4
39,2
40,9
41,7
42,7
43,4
44,1
45,8
46,3
47,8
48,8
49,7
50,8
51,9
52,6
53,5
54,8
55,4
56,6
57,3
58,1
59,3
60,5
61,0
62,2
63,9
64,3
65,8
66,2
67,4
68,9
69,2
70,9
71,1
72,3
73,3
74,5
75,1
76,9
77,6
78,1
79,1
80,7
81,9
82,2
83,1
84,0
85,9
86,6
87,2
88,9
89,1
90,6
91,6
92,2
93,7
94,1
95,7
96,4
97,1
98,9
99,5
100,5
101,9
102,6
103,0
104,1
105,4
106,2
107,3
108,7
109,8
110,9
111,8
112,7
113,9
114,9
115,3
116,1
117,7
118,5
119,0
120,5
121,8
122,5
123,2
124,0
125,9
126,5
127,6
128,6
129,1
130,0
131,1
132,8
133,5
134,0
135,8
136,8
137,7
138,6
139,7
140,8
141,9
142,6
143,9
144,8
145,4
146,5
147,1
148,1
149,9
150,6
151,4
152,9
153,6
154,8
155,4
156,1
157,1
158,1
159,9
160,4
161,2
162,6
163,3
164,1
165,4
166,4
167,0
168,4
169,1
170,6
171,5
172,4
173,9
174,1
175,5
176,5
177,6
178,4
179,0
180,5
181,4
182,7
183,1
184,7
185,8
186,6
187,5
188,7
189,7
190,4
191,8
192,0
193,8
194,5
195,3
196,3
197,9
198,9
199,5
200,4
201,9
202,9
203,9
204,9
205,5
206,7
207,8
208,8
209,6
210,9
211,4
212,9
213,7
214,1
215,7
216,8
217,0
218,6
219,7
220,5
221,2
222,3
223,8
224,6
225,0
226,1
227,8
228,2
229,9
230,4
231,0
232,3
233,8
234,8
235,9
236,1
237,6
238,8
239,7
240,5
241,5
242,5
243,6
244,3
245,6
246,6
247,8
248,8
249,8
250,4
251,1
252,9
253,4
254,8
255,3
256,0
257,7
258,7
259,5
260,4
261,4
262,5
263,8
264,2
265,2
266,4
267,6
268,3
269,5
270,2
271,5
272,0
273,5
274,2
275,1
276,0
277,6
278,9
279,2
280,5
281,8
282,3
283,2
284,8
285,7
286,9
287,7
288,3
289,5
290,8
291,5
292,6
293,1
294,8
295,8
296,3
297,0
298,9
299,2
300,5
301,2
302,2
303,5
304,5
305,3
306,6
307,0
308,9
309,1
310,8
311,8
312,5
313,0
314,1
315,9
316,1
317,5
318,2
319,2
320,7
321,0
322,3
323,1
324,6
325,3
326,6
327,1
328,5
329,8
330,8
331,6
332,5
333,2
334,3
335,4
336,5
337,9
338,7
339,9
340,5
341,1
342,3
343,3
344,0
345,1
346,1
347,1
348,9
349,3
350,1
351,9
352,5
353,0
354,5
355,1
356,2
357,0
358,3
359,9
360,8
361,4
362,5
363,3
364,4
365,3
366,2
367,4
368,0
369,2
370,9
371,7
372,7
373,8
374,1
375,1
376,2
377,3
378,4
379,0
380,5
381,6
382,9
383,6
384,2
385,7
386,9
387,7
388,0
389,0
390,9
391,1
392,9
393,4
394,0
395,8
396,4
397,4
398,5
399,7
400,6
401,3
402,8
403,4
404,5
405,6
406,0
407,0
408,1
409,5
410,7
411,2
412,2
413,3
414,7
415,2
416,0
417,4
418,2
419,3
420,2
421,3
422,1
423,3
424,3
425,4
426,4
427,8
428,2
429,9
430,7
431,9
432,1
433,1
434,9
435,2
436,6
437,9
438,6
439,1
440,5
441,3
442,3
443,3
444,7
445,0
446,7
447,6
448,5
449,1
450,2
451,9
452,0
453,1
454,7
455,5
456,8
457,2
458,1
459,8
460,0
461,0
462,6
463,4
464,4
465,2
466,6
467,9
468,4
469,5
470,7
471,1
472,8
473,4
474,5
475,2
476,2
477,0
478,4
479,1
480,6
481,9
482,1
483,1
484,6
485,6
486,8
487,8
488,5
489,7
490,5
491,9
492,7
493,1
494,7
495,7
496,7
497,7
498,9
499,6
500,6
501,6
502,1
503,2
504,8
505,2
506,6
507,7
508,0
509,0
510,0
511,0
512,0
513,8
514,7
515,1
516,4
517,3
518,9
519,4
520,4
521,0
522,7
523,8
524,9
525,7
526,5
527,7
528,2
529,3
530,9
531,7
532,3
533,5
534,9
535,9
536,8
537,1
538,6
539,4
540,5
541,3
542,7
543,0
544,2
545,6
546,6
547,7
548,7
549,2
550,6
551,9
552,6
553,6
554,8
555,9
556,9
557,4
558,3
559,6
560,7
561,1
562,8
563,7
564,1
565,2
566,9
567,7
568,2
569,6
570,5
571,6
572,7
573,6
574,7
575,2
576,5
577,0
578,4
579,6
580,1
581,4
582,6
583,7
584,6
585,9
586,3
587,3
588,2
589,1
590,8
591,6
592,7
593,1
594,5
595,6
596,7
597,9
598,1
599,2
600,6
601,7
602,1
603,9
604,0
605,1
606,7
607,7
608,5
609,6
610,6
611,2
612,2
613,2
614,6
615,6
616,6
617,1
618,5
619,8
620,7
621,5
622,9
623,8
624,7
625,6
626,7
627,2
628,0
629,2
630,1
631,5
632,9
633,2
634,1
635,4
636,8
637,5
638,4
639,7
640,6
641,6
642,0
643,7
644,1
645,3
646,1
647,3
648,6
649,0
650,8
651,0
652,2
653,9
654,3
655,5
656,2
657,5
658,5
659,8
660,9
661,7
662,1
663,8
664,3
665,7
666,5
667,1
668,1
669,4
670,7
671,8
672,4
673,9
674,4
675,9
676,4
677,3
678,3
679,0
680,3
681,0
682,8
683,6
684,8
685,7
686,7
687,8
688,9
689,4
690,5
691,0
692,0
693,7
694,2
695,9
696,7
697,1
698,1
699,6
700,0
701,6
702,1
703,8
704,6
705,1
706,4
707,0
708,7
709,4
710,7
711,2
712,3
713,3
714,3
715,9
716,0
717,3
718,1
719,6
720,1
721,1
722,6
723,1
724,9
725,6
726,2
727,9
728,2
729,5
730,8
731,3
732,4
733,3
734,0
735,9
736,5
737,4
738,6
739,3
740,2
741,5
742,1
743,3
744,3
745,3
746,6
747,1
748,9
749,4
750,1
751,1
752,2
753,9
754,0
755,5
756,8
757,0
758,7
759,2
760,5
761,5
762,1
763,0
764,4
765,5
766,0
767,0
768,9
769,0
770,9
771,1
772,4
773,8
774,5
775,4
776,9
777,4
778,7
779,2
780,6
781,6
782,2
783,7
784,0
785,8
786,9
787,2
788,1
789,7
790,3
791,8
792,4
793,8
794,7
795,8
796,8
797,3
798,6
799,6
800,2
801,9
802,7
803,1
804,6
805,9
806,2
807,7
808,1
809,0
810,8
811,3
812,9
813,7
814,9
815,2
816,3
817,5
818,6
819,0
820,7
821,9
822,1
823,7
824,4
825,3
826,1
827,4
828,9
829,6
830,4
831,8
832,4
833,2
834,2
835,3
836,1
837,9
838,1
839,5
840,9
841,0
842,0
843,1
844,5
845,5
846,6
847,5
848,8
849,0
850,1
851,6
852,4
853,0
854,1
855,1
856,4
857,3
858,3
859,7
860,6
861,9
862,5
863,3
864,3
865,2
866,4
867,8
868,1
869,9
870,2
871,9
872,1
873,8
874,2
875,7
876,7
877,6
878,5
879,9
880,2
881,5
882,2
883,8
884,8
885,9
886,9
887,1
888,5
889,4
890,8
891,8
892,4
893,2
894,5
895,6
896,3
897,1
898,7
899,4
900,6
901,8
902,7
903,6
904,4
905,6
906,8
907,6
908,6
909,7
910,7
911,7
912,8
913,2
914,9
915,3
916,0
917,5
918,8
919,1
920,3
921,6
922,6
923,9
924,5
925,4
926,1
927,6
928,5
929,7
930,8
931,4
932,1
933,4
934,4
935,5
936,4
937,4
938,9
939,4
940,1
941,1
942,2
943,8
944,9
945,5
946,7
947,9
948,4
949,3
950,9
951,6
952,8
953,8
954,8
955,4
956,8
957,7
958,0
959,6
960,8
961,6
962,4
963,7
964,3
965,8
966,0
967,3
968,7
969,8
970,5
971,5
972,2
973,3
974,3
975,9
976,4
977,0
978,4
979,6
980,4
981,0
982,6
983,4
984,7
985,0
986,2
987,3
988,1
989,7
990,2
991,7
992,6
993,6
994,0
995,0
996,8
997,7
998,6
999,3
1000,6
1001,1
1002,6
1003,4
1004,1
1005,2
1006,5
1007,7
1008,7
1009,5
1010,1
1011,2
1012,6
1013,3
1014,8
1015,6
1016,0
1017,0
1018,7
1019,1
1020,2
1021,2
1022,7
1023,7
1024,2
1025,7
1026,5
1027,7
1028,8
